2023-12-07 09:13:47 : begin
2023-12-07 09:13:48 : DUT1 is LOOP CCPB_2ge-A ,slot#16
2023-12-07 09:13:49 : DUT2 is LOOP CCPB_2ge-A ,slot#16
2023-12-07 09:13:51 : DUT:1 ctrl : sw:"V23.11.01 (0010)" serial:203 hw: "Ver.C, FPGA1:V16(7), FPGA2:V14(10), CPLD:V3(2) "
2023-12-07 09:13:51 : DUT:1 ctrl2: sw:"N/A" serial:0 hw: "N/A"
2023-12-07 09:13:59 : DUT:1 slot: 7  QT1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:03 : DUT:1 slot: 4  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:04 : DUT:1 slot: 3  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:09 : DUT:1 slot: c  FT1        ver:" (mismatch)(card type)"
2023-12-07 09:14:14 : DUT:2 ctrl : sw:"V23.11.01 (0010)" serial:478 hw: "Ver.C, FPGA1:V16(7), FPGA2:V14(10), CPLD:V3(2) "
2023-12-07 09:14:14 : DUT:2 ctrl2: sw:"V23.11.01 (0010)" serial:476 hw: "Ver.C"
2023-12-07 09:14:21 : DUT:2 slot: 7  QT1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:24 : DUT:2 slot: 4  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:26 : DUT:2 slot: 3  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:32 : DUT:2 slot: b  FE1        ver:"V4.03.04 (0010), HW: G, FPGA: 09"
2023-12-07 09:19:37 : DUT 1 CurrCLK:Internal   ClkRecover:manul	slot Slot3	port Port4
2023-12-07 09:19:49 : DUT 2 CurrCLK:Internal   ClkRecover:manul	slot Slot3	port Port4
2023-12-07 09:22:35 : DUT 1 (AM3440_CCPA_Get_dpllStabdbyStatus_log)  InputStatus:Ooflos LockStatus:Unlock CalStatus:Normal InputSticky:Oof LockSticky:Lock CalSticky:Normal
2023-12-07 09:34:33 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.6 LBitCnt=7 RBitCnt=0 TxGood=3158 RxGood=3158 RxLost=0 Link=up SizeErr=no
2023-12-07 09:34:41 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.3 LBitCnt=7 RBitCnt=0 TxGood=3443 RxGood=3443 RxLost=0 Link=up SizeErr=no
2023-12-07 09:34:48 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.5 LBitCnt=7 RBitCnt=0 TxGood=3226 RxGood=3226 RxLost=0 Link=up SizeErr=no
2023-12-07 09:34:55 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.3 LBitCnt=7 RBitCnt=0 TxGood=3490 RxGood=3490 RxLost=0 Link=up SizeErr=no
2023-12-07 09:35:03 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.7 LBitCnt=7 RBitCnt=0 TxGood=3275 RxGood=3275 RxLost=0 Link=up SizeErr=no
2023-12-07 09:35:10 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.1 LBitCnt=7 RBitCnt=0 TxGood=3048 RxGood=3048 RxLost=0 Link=up SizeErr=no
2023-12-07 09:35:18 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.8 LBitCnt=7 RBitCnt=0 TxGood=3317 RxGood=3317 RxLost=0 Link=up SizeErr=no
2023-12-07 09:35:25 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=3079 RxGood=3079 RxLost=0 Link=up SizeErr=no
2023-12-07 09:35:33 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=10.1 LBitCnt=7 RBitCnt=0 TxGood=3367 RxGood=3368 RxLost=0 Link=up SizeErr=no
2023-12-07 09:35:35 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=10.2 LBitCnt=9 RBitCnt=0 TxGood=0 RxGood=4367 RxLost=0 Link=up SizeErr=no
2023-12-07 09:35:42 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3150 RxLost=0 Link=up SizeErr=no
2023-12-07 09:35:50 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=10.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3400 RxLost=0 Link=up SizeErr=no
2023-12-07 09:35:57 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.6 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3205 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:05 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.6 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3347 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:12 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=10.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3146 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:20 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.7 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3428 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:27 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3218 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:34 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.1 LBitCnt=8 RBitCnt=0 TxGood=0 RxGood=3525 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:42 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3306 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:49 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.8 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3047 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:52 : DUT 2 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.5 LBitCnt=9 RBitCnt=0 TxGood=4205 RxGood=4205 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:54 : DUT 2 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.5 LBitCnt=11 RBitCnt=0 TxGood=0 RxGood=5204 RxLost=0 Link=up SizeErr=no
2023-12-07 09:36:56 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.8 LBitCnt=14 RBitCnt=0 TxGood=6547 RxGood=6547 RxLost=0 Link=up SizeErr=no
2023-12-07 09:37:03 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=3150 RxGood=3150 RxLost=0 Link=up SizeErr=no
2023-12-07 09:37:11 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=3381 RxGood=3381 RxLost=0 Link=up SizeErr=no
2023-12-07 09:37:18 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=3158 RxGood=3158 RxLost=0 Link=up SizeErr=no
2023-12-07 09:37:25 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=3439 RxGood=3439 RxLost=0 Link=up SizeErr=no
2023-12-07 09:37:33 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=10.0 LBitCnt=7 RBitCnt=0 TxGood=3222 RxGood=3222 RxLost=0 Link=up SizeErr=no
2023-12-07 09:37:40 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=10.0 LBitCnt=7 RBitCnt=0 TxGood=3013 RxGood=3013 RxLost=0 Link=up SizeErr=no
2023-12-07 09:37:48 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.7 LBitCnt=7 RBitCnt=0 TxGood=3293 RxGood=3293 RxLost=0 Link=up SizeErr=no
2023-12-07 09:37:55 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.6 LBitCnt=7 RBitCnt=0 TxGood=3071 RxGood=3071 RxLost=0 Link=up SizeErr=no
2023-12-07 09:38:03 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.5 LBitCnt=7 RBitCnt=0 TxGood=3362 RxGood=3362 RxLost=0 Link=up SizeErr=no
2023-12-07 09:38:10 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.5 LBitCnt=7 RBitCnt=0 TxGood=3194 RxGood=3194 RxLost=0 Link=up SizeErr=no
2023-12-07 09:38:12 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.5 LBitCnt=9 RBitCnt=0 TxGood=0 RxGood=4193 RxLost=0 Link=up SizeErr=no
2023-12-07 09:38:20 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3461 RxLost=0 Link=up SizeErr=no
2023-12-07 09:38:27 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=8.8 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3209 RxLost=0 Link=up SizeErr=no
2023-12-07 09:38:34 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3017 RxLost=0 Link=up SizeErr=no
2023-12-07 09:38:42 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.3 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3304 RxLost=0 Link=up SizeErr=no
2023-12-07 09:38:49 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.3 JBDP=8.7 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3135 RxLost=0 Link=up SizeErr=no
2023-12-07 09:38:57 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.6 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3435 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:04 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3218 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:11 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=10.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3488 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:19 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=10.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3300 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:26 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=10.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3115 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:28 : DUT 2 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.2 LBitCnt=9 RBitCnt=0 TxGood=4273 RxGood=4273 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:30 : DUT 2 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.8 LBitCnt=11 RBitCnt=0 TxGood=0 RxGood=5274 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:32 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.8 LBitCnt=13 RBitCnt=0 TxGood=6114 RxGood=6114 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:40 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=3406 RxGood=3406 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:47 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=3191 RxGood=3191 RxLost=0 Link=up SizeErr=no
2023-12-07 09:39:54 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.7 LBitCnt=7 RBitCnt=0 TxGood=3017 RxGood=3017 RxLost=0 Link=up SizeErr=no
2023-12-07 09:40:02 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.6 LBitCnt=7 RBitCnt=0 TxGood=3321 RxGood=3321 RxLost=0 Link=up SizeErr=no
2023-12-07 09:40:09 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=3101 RxGood=3101 RxLost=0 Link=up SizeErr=no
2023-12-07 09:40:17 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=10.0 LBitCnt=7 RBitCnt=0 TxGood=3385 RxGood=3385 RxLost=0 Link=up SizeErr=no
2023-12-07 09:40:24 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=10.1 LBitCnt=7 RBitCnt=0 TxGood=3193 RxGood=3193 RxLost=0 Link=up SizeErr=no
2023-12-07 09:40:31 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.8 LBitCnt=7 RBitCnt=0 TxGood=3017 RxGood=3017 RxLost=0 Link=up SizeErr=no
2023-12-07 09:40:39 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.8 LBitCnt=7 RBitCnt=0 TxGood=3326 RxGood=3326 RxLost=0 Link=up SizeErr=no
2023-12-07 09:40:46 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.7 LBitCnt=7 RBitCnt=0 TxGood=3148 RxGood=3148 RxLost=0 Link=up SizeErr=no
2023-12-07 09:40:48 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.5 LBitCnt=9 RBitCnt=0 TxGood=0 RxGood=4148 RxLost=0 Link=up SizeErr=no
2023-12-07 09:40:55 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3460 RxLost=0 Link=up SizeErr=no
2023-12-07 09:41:03 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3259 RxLost=0 Link=up SizeErr=no
2023-12-07 09:41:10 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.1 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3055 RxLost=0 Link=up SizeErr=no
2023-12-07 09:41:18 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3344 RxLost=0 Link=up SizeErr=no
2023-12-07 09:41:25 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3158 RxLost=0 Link=up SizeErr=no
2023-12-07 09:41:32 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.8 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3481 RxLost=0 Link=up SizeErr=no
2023-12-07 09:41:40 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3297 RxLost=0 Link=up SizeErr=no
2023-12-07 09:41:47 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.6 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3116 RxLost=0 Link=up SizeErr=no
2023-12-07 09:41:55 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3395 RxLost=0 Link=up SizeErr=no
2023-12-07 09:42:02 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=10.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3151 RxLost=0 Link=up SizeErr=no
2023-12-07 09:42:04 : DUT 2 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.5 LBitCnt=9 RBitCnt=0 TxGood=4310 RxGood=4310 RxLost=0 Link=up SizeErr=no
2023-12-07 09:42:06 : DUT 2 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=8.5 JBMAX=10.3 JBDP=9.3 LBitCnt=11 RBitCnt=0 TxGood=0 RxGood=5310 RxLost=0 Link=up SizeErr=no
2023-12-07 09:42:07 : DUT 1 (AM3440_CCPA_Get_PW_Working_Statist_log)  bid_idx=60 Pri Eth1LinkStat=up Eth1RxSeqNum=60659 Eth1RxSeqLos=0 Eth1RxJBLos=0 DiffDelay="20."
2023-12-07 09:42:07 : DUT 1 (AM3440_CCPA_Get_PW_Working_Statist_log)  bid_idx=60 Sec Eth2Linkstat=up Eth2RxSeqNum=60659 Eth2RxSeqLos=0 Eth2RxJBLos=0 DiffDelay="20."
2023-12-07 09:42:07 : DUT 2 (AM3440_CCPA_Get_PW_Working_Statist_log)  bid_idx=60 Pri Eth1LinkStat=up Eth1RxSeqNum=61583 Eth1RxSeqLos=0 Eth1RxJBLos=0 DiffDelay="24."
2023-12-07 09:42:08 : DUT 2 (AM3440_CCPA_Get_PW_Working_Statist_log)  bid_idx=60 Sec Eth2Linkstat=up Eth2RxSeqNum=62084 Eth2RxSeqLos=0 Eth2RxJBLos=0 DiffDelay="24."
2023-12-07 09:42:08 : DUT 1 (AM3440_CCPA_Get_PW_Standby_Statist_log)  bid_idx=60 Pri Eth1LinkStat=down Eth1RxSeqNum=0 Eth1RxSeqLos=0 Eth1RxJBLos=0 DiffDelay="na."
2023-12-07 09:42:09 : DUT 1 (AM3440_CCPA_Get_PW_Standby_Statist_log)  bid_idx=60 Sec Eth2Linkstat=down Eth2RxSeqNum=0 Eth2RxSeqLos=0 Eth2RxJBLos=0 DiffDelay="na."
2023-12-07 09:42:09 : DUT 2 (AM3440_CCPA_Get_PW_Standby_Statist_log)  bid_idx=60 Pri Eth1LinkStat=down Eth1RxSeqNum=0 Eth1RxSeqLos=0 Eth1RxJBLos=0 DiffDelay="na."
2023-12-07 09:42:09 : DUT 2 (AM3440_CCPA_Get_PW_Standby_Statist_log)  bid_idx=60 Sec Eth2Linkstat=down Eth2RxSeqNum=0 Eth2RxSeqLos=0 Eth2RxJBLos=0 DiffDelay="na."
2023-12-07 09:42:10 : DUT 1 (AM3440_CCPA_Get_PW_Working_Statist_log)  bid_idx=61 Pri Eth1LinkStat=up Eth1RxSeqNum=60133 Eth1RxSeqLos=0 Eth1RxJBLos=0 DiffDelay="25."
2023-12-07 09:42:10 : DUT 1 (AM3440_CCPA_Get_PW_Working_Statist_log)  bid_idx=61 Sec Eth2Linkstat=up Eth2RxSeqNum=60133 Eth2RxSeqLos=0 Eth2RxJBLos=0 DiffDelay="25."
2023-12-07 09:42:11 : DUT 2 (AM3440_CCPA_Get_PW_Working_Statist_log)  bid_idx=61 Pri Eth1LinkStat=up Eth1RxSeqNum=61581 Eth1RxSeqLos=0 Eth1RxJBLos=0 DiffDelay="24."
2023-12-07 09:42:11 : DUT 2 (AM3440_CCPA_Get_PW_Working_Statist_log)  bid_idx=61 Sec Eth2Linkstat=up Eth2RxSeqNum=61581 Eth2RxSeqLos=0 Eth2RxJBLos=0 DiffDelay="24."
2023-12-07 09:42:11 : DUT 1 (AM3440_CCPA_Get_PW_Standby_Statist_log)  bid_idx=61 Pri Eth1LinkStat=down Eth1RxSeqNum=0 Eth1RxSeqLos=0 Eth1RxJBLos=0 DiffDelay="na."
2023-12-07 09:42:12 : DUT 1 (AM3440_CCPA_Get_PW_Standby_Statist_log)  bid_idx=61 Sec Eth2Linkstat=down Eth2RxSeqNum=0 Eth2RxSeqLos=0 Eth2RxJBLos=0 DiffDelay="na."
